Title: Offline Suppression Management
Account Name: Case New Holland
Group: ooc-internet-5-specialized,Scan Type: test
File Create Time: 2013-06-07 12:54:36 UTC
Available Suppressions:,test suppression
WARNING: Do not remove or add lines above this line

System Name,IP address,Operation System,Group Name,Deviation Level,Suppression Name,Suppression Date,Deviation Text,Deviation Status,Deviation Validation Group,HC Cycle Scan Timestamp,finding_vid,finding_hash,asset_id
s1cn1hazfp01.cnh1.cnhgroup.cnh.com,146.47.243.160,windows,ooc-internet-4-specialized,violation,,,Audit OSR Path (file): c:\autoexec.bat - OSR Does Not Exist,Valid,Operating System Chk,2013-06-06 00:00:00.000000,318892,-1326644438,65132
s1cn1hazfp01.cnh1.cnhgroup.cnh.com,146.47.243.160,windows,ooc-internet-4-specialized,violation,,,Audit Policy: Object Access - Rule: failure - Found: success_failure,Valid,Operating System Chk,2013-06-06 00:00:00.000000,318894,305043066,65132
s1cn1hazfp01.cnh1.cnhgroup.cnh.com,146.47.243.160,windows,ooc-internet-4-specialized,violation,,,Event Log: Overwrite Log (application) - Rule: 180 days - Found: 90 days,Valid,Operating System Chk,2013-06-06 00:00:00.000000,318895,-1580454632,65132
s1cn1hazfp01.cnh1.cnhgroup.cnh.com,146.47.243.160,windows,ooc-internet-4-specialized,violation,,,OSR Path (dir): c:\windows\system32\config - User Entry Found: Authenticated Users[S-1-5-11] - Effective ACL Rule (AMRS): READ - [0::1179785] - Effective ACL Found: LIST - [0::1179817],Valid,Operating System Chk,2013-06-06 00:00:00.000000,318898,953775994,65132
s1cn1hazfp01.cnh1.cnhgroup.cnh.com,146.47.243.160,windows,ooc-internet-4-specialized,violation,,,Password Requirement: Password Age Minimum - Rule: 1 - Found: 0,Valid,Operating System Chk,2013-06-06 00:00:00.000000,318904,-1012721356,65132
s1cn1hazfp01.cnh1.cnhgroup.cnh.com,146.47.243.160,windows,ooc-internet-4-specialized,violation,,,User Resource: Password Age Maximum - Guest[S-1-5-21-3146799228-3739250210-3804636452-501] - Rule: 60 - Found: 412 - Member Of (local): BUILTIN\Guests - Member Of (global): NONE,Valid,Operating System Chk,2013-06-06 00:00:00.000000,318906,-47008325,65132
s1cn1hazfp01.cnh1.cnhgroup.cnh.com,146.47.243.160,windows,ooc-internet-4-specialized,violation,,,User Resource: Password Age Maximum - PZeke[S-1-5-21-3146799228-3739250210-3804636452-1015] - Rule: 60 - Found: 430 - Member Of (local): BUILTIN\Administrators; BUILTIN\Users - Member Of (global): NONE,Valid,Operating System Chk,2013-06-06 00:00:00.000000,318907,2083236664,65132
s1cn1hazfp01.cnh1.cnhgroup.cnh.com,146.47.243.160,windows,ooc-internet-4-specialized,violation,,,User Resource: Password Age Maximum - tmersrvd[S-1-5-21-3146799228-3739250210-3804636452-1018] - Rule: 60 - Found: 423 - Member Of (local): NONE - Member Of (global): NONE,Valid,Operating System Chk,2013-06-06 00:00:00.000000,318909,1269651056,65132
s1cn1hazfp01.cnh1.cnhgroup.cnh.com,146.47.243.160,windows,ooc-internet-4-specialized,violation,,,Audit (fail) OSR Path (dir): c:\windows\system32 - User Entry Found: Everyone[S-1-1-0] - Effective Audit (fail) Rule: CP;MODIFY;TO - [2:128:983487] - Effective Audit (fail) Found: FULL - [2:128:983551],Valid,Operating System Chk,2013-06-06 00:00:00.000000,318958,-1678301722,65132
s1cn1hazfp01.cnh1.cnhgroup.cnh.com,146.47.243.160,windows,ooc-internet-4-specialized,violation,,,Authenticate User: Maximum Lifetime for User Ticket [MaxTicketAge] - Rule: 30 - Found: not_defined - Service is Installed but Currently Inactive - State: stopped - Startup: disabled,Valid,Operating System Chk,2013-06-06 00:00:00.000000,318968,-1814511708,65132
